IP:Port,Loss,Latency
162.159.195.225:4233,0%,19.94
162.159.195.1:3138,0%,20.06
162.159.195.124:864,0%,20.09
162.159.192.52:3138,0%,20.13
162.159.195.15:880,0%,20.13
162.159.195.25:942,0%,20.18
162.159.195.150:908,0%,20.29
162.159.195.124:8886,0%,20.49
162.159.195.88:864,0%,20.60
162.159.195.185:880,0%,20.64
162.159.195.234:946,0%,20.66
188.114.98.206:1843,0%,22.19
188.114.96.4:5279,0%,22.40
188.114.98.134:8886,0%,22.46
188.114.98.156:955,0%,22.63
188.114.98.28:7103,0%,22.73
188.114.96.41:1843,0%,22.74
188.114.98.34:903,0%,22.84
188.114.98.55:3476,0%,22.92
188.114.96.55:939,0%,22.97
188.114.98.179:891,0%,22.98
188.114.96.11:1074,0%,22.99
188.114.98.47:908,0%,23.01
188.114.96.254:946,0%,23.07
188.114.97.27:859,0%,23.10
188.114.97.102:7103,0%,23.23
188.114.97.197:988,0%,23.40
188.114.97.193:891,0%,23.48
188.114.97.19:890,0%,24.48
188.114.96.141:1074,0%,24.50
188.114.98.192:3581,0%,24.55
188.114.99.53:1180,0%,24.56
188.114.97.235:7281,0%,24.68
188.114.96.192:939,0%,24.73
188.114.97.57:5956,0%,27.31
188.114.99.191:3854,0%,27.43
188.114.99.220:934,0%,27.45
188.114.99.199:3581,0%,27.63
188.114.98.90:1010,0%,27.68
188.114.98.180:903,0%,27.75
188.114.98.173:939,0%,27.76
188.114.97.217:943,0%,27.78
188.114.96.202:934,0%,27.81
188.114.96.155:1018,0%,27.85
188.114.98.34:987,0%,27.87
188.114.96.170:1070,0%,28.21
188.114.98.84:3581,0%,28.30
188.114.97.151:955,0%,28.38
188.114.96.248:4500,0%,28.42
188.114.98.53:7559,0%,28.59
188.114.97.186:3854,0%,28.76
188.114.98.79:7281,0%,28.87
188.114.98.137:4500,0%,28.88
188.114.98.175:878,0%,28.90
188.114.99.156:4233,0%,28.92
188.114.97.89:955,0%,29.01
188.114.97.117:8854,0%,29.03
188.114.97.67:1843,0%,29.15
188.114.98.166:4500,0%,29.16
188.114.99.3:4198,0%,29.23
188.114.99.54:1387,0%,29.23
188.114.99.95:955,0%,29.26
188.114.98.86:945,0%,29.30
188.114.98.205:1074,0%,29.30
188.114.96.56:7103,0%,29.31
188.114.98.128:8886,0%,29.32
188.114.99.33:8886,0%,29.32
188.114.99.98:7156,0%,29.33
188.114.96.210:7152,0%,29.34
188.114.96.249:859,0%,29.34
188.114.97.67:1018,0%,29.35
188.114.96.8:2506,0%,29.37
188.114.97.249:2371,0%,29.38
188.114.98.32:1074,0%,29.43
188.114.98.145:943,0%,29.45
188.114.97.166:1002,0%,29.45
188.114.96.253:7152,0%,29.49
188.114.96.58:934,0%,29.49
188.114.98.217:7103,0%,29.50
188.114.98.13:2371,0%,29.50
188.114.99.206:1002,0%,29.50
188.114.96.144:8319,0%,29.51
188.114.99.15:8854,0%,29.54
188.114.99.122:1387,0%,29.57
188.114.96.174:8854,0%,29.57
188.114.99.233:8886,0%,29.59
188.114.99.218:854,0%,29.60
188.114.99.95:903,0%,29.70
188.114.98.42:1010,0%,29.72
188.114.97.188:943,0%,29.79
188.114.97.20:7103,0%,29.82
188.114.96.139:943,0%,29.84
188.114.98.236:1070,0%,29.85
188.114.99.220:4177,0%,29.89
188.114.96.236:1018,0%,29.92
188.114.99.22:2506,0%,29.98
188.114.99.67:1014,0%,29.99
188.114.97.97:1387,0%,29.99
188.114.99.182:3476,0%,30.02
188.114.96.247:878,0%,30.04
188.114.99.90:3854,0%,30.13
188.114.97.222:890,0%,30.13
188.114.97.236:4198,0%,30.13
188.114.99.171:1014,0%,30.14
188.114.98.28:7281,0%,30.14
188.114.96.210:2408,0%,30.17
188.114.97.127:1180,0%,30.19
188.114.99.59:854,0%,30.22
188.114.96.225:5956,0%,30.24
188.114.98.124:943,0%,30.25
188.114.96.103:903,0%,30.29
188.114.99.238:2506,0%,30.33
188.114.97.112:854,0%,30.33
188.114.99.219:942,0%,30.33
188.114.97.204:8854,0%,30.35
188.114.96.88:945,0%,30.39
188.114.96.173:3854,0%,30.40
188.114.97.232:968,0%,30.47
188.114.99.185:894,0%,30.47
188.114.98.238:908,0%,30.50
188.114.98.74:1387,0%,30.51
